,,,,,,
,,,,,,
세 체 우,Nov 28 2020 2:58 PM,Udyr,"
											Defeat									",0.29:1,"
					Normal
				","
						Master
											",세 체 우,바지속안에레어템,마법소녀강질풍,KA2INO,꿈꾸는 윰이,263,골드로조,유밀무이 탑솔러,엘게이,H a l e,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				1
	","
					","
				0
	","
					","
				5
	",16,33688,24,41378,19m 48s
세 체 우,Nov 28 2020 2:25 PM,Udyr,"
											Victory									",4.75:1,"
					Normal
				","
						Master
											",세 체 우,바지속안에레어템,꿈꾸는 윰이,마법소녀강질풍,Rraon, Genie Whiz,여유증말기 F컵,니가범인이야,진로검사,바젤린,"
					","
				0
	","
					","
				2
	","
					","
				1
	","
					","
				2
	","
					","
				7
	","
					","
				8
	",36,57746,23,53398,29m 14s
세 체 우,Nov 28 2020 1:47 PM,Udyr,"
											Defeat									",2.56:1,"
					Normal
				","
						Master
											",나르날리,바지속안에레어템,세 체 우,Rraon,Xieo wei bo en,서포터만 할꺼야,닝늉냥늉,서폿챔만할게요,안광남히포,류하승,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				5
	","
					","
				9
	","
					","
				6
	",35,67006,45,72600,38m 16s
세 체 우,Nov 28 2020 3:49 AM,Udyr,"
											Defeat									",1.22:1,"
					Normal
				","
						Master
											",요네벌레또지네씨,세 체 우,색연필,설화연,생 명 치 료,기도하는 수이니,Bye Babe,Emmz,김교수의 카이팅 강의 시간,귀종님,"
					","
				0
	","
					","
				1
	","
					","
				2
	","
					","
				2
	","
					","
				4
	","
					","
				9
	",19,49659,41,59913,28m 29s
세 체 우,Nov 28 2020 3:17 AM,Udyr,"
											Victory									",1.67:1,"
					Normal
				","
						Master
											",PlaytheJaximus,세 체 우,thl2249,내가 더 열 심 히,트릭쇼,Kzxxx,이니셜 N,국 빱 배 팅,DWG 8usMaker,래피야 비리디스,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				0
	","
					","
				2
	","
					","
				1
	",11,28177,10,24979,15m 33s
세 체 우,Nov 28 2020 2:57 AM,Udyr,"
											Defeat									",1.50:1,"
					Normal
				","
						Master
											",세 체 우,Hady,54810304del,Cat is my life,xiaoyushiz,  쌀밥위에삼겹살,HuyaTv1837242,시셀라,Traho,아 횬,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				1
	","
					","
				0
	",14,30572,16,29343,16m 18s
세 체 우,Nov 28 2020 2:35 AM,Udyr,"
											Defeat									",0.00:1,"
					Normal
				","
						Master
											",윤초연,세 체 우,속삭여줘나의눈물,Traho,   flat  final,국 빱 배 팅,잘못많은구데기,인생착하게살자,Cat is my life,늙고병든구데기,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				0
	","
					","
				1
	",5,14329,11,21154,10m 15s
세 체 우,Nov 27 2020 12:33 PM,Udyr,"
											Defeat									",1.00:1,"
					Flex 5:5 Rank
				","
						Platinum 4
											",잉 쭌,세 체 우,마법소녀강질풍,팥 돌,돈까스치즈김밥,Ireli A kali,낯가림 심한 사람,뭉 71,XUNWON,권효은,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				0
	","
					","
				4
	",11,24814,27,36698,16m 0s
세 체 우,Nov 27 2020 12:11 PM,Udyr,"
											Victory									",10.00:1,"
					Flex 5:5 Rank
				","
						Platinum 4
											",잉 쭌,세 체 우,마법소녀강질풍,팥 돌,돈까스치즈김밥,인간이길그만둔자,스누피의복날,MarchTracK,야윈시대,댕파고,"
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				1
	","
					","
				8
	","
					","
				1
	",35,49865,24,42037,23m 20s
세 체 우,Nov 27 2020 11:40 AM,Udyr,"
											Victory									",3.67:1,"
					Flex 5:5 Rank
				","
						Gold 1
											",세 체 우,물러서지않는영혼,AD mid laner,부감풍경,01052558269,뽜 뀨,쉬운게 하나 없네,스덕덕덕,나 지켜줘 제발,얼 빨,"
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				0
	","
					","
				9
	","
					","
				0
	",27,47284,11,35138,21m 18s
세 체 우,Nov 27 2020 11:11 AM,Udyr,"
											Defeat									",1.33:1,"
					Flex 5:5 Rank
				","
						Platinum 4
											",세 체 우,물러서지않는영혼,AD mid laner,부감풍경,01052558269,막내 고라니,상자까는중,민도희2,매서운 날다람쥐,템 쭈,"
					","
				0
	","
					","
				1
	","
					","
				1
	","
					","
				2
	","
					","
				3
	","
					","
				7
	",23,47214,37,57356,26m 14s
