,Channel_Name,Channel_URL,Ingame_ID,opgg_url
221,TV라간,https://www.youtube.com/channel/UCqJB7rKizLzFYy2t_2rGahw,라간TV보약쩐다,https://op.gg/summoner/userName=라간TV보약쩐다
222,TV라간,https://www.youtube.com/channel/UCqJB7rKizLzFYy2t_2rGahw,강찬밥의그남자,https://op.gg/summoner/userName=강찬밥의그남자
223,TV라간,https://www.youtube.com/channel/UCqJB7rKizLzFYy2t_2rGahw,틀탑라간,https://op.gg/summoner/userName=틀탑라간
224,서포터초아,https://www.youtube.com/channel/UCMNjGXw_KOEihDP0Zdq2pxQ,서포터초아,https://op.gg/summoner/userName=서포터초아
225,새루 유튜브/SaeRu YouTube,https://www.youtube.com/channel/UCzZepWSPs2VCpCirB3zGgtw,새루에요,https://op.gg/summoner/userName=새루에요
226,새루 유튜브/SaeRu YouTube,https://www.youtube.com/channel/UCzZepWSPs2VCpCirB3zGgtw,블믜,https://op.gg/summoner/userName=블믜
227,새루 유튜브/SaeRu YouTube,https://www.youtube.com/channel/UCzZepWSPs2VCpCirB3zGgtw,새루,https://op.gg/summoner/userName=새루
228,개인팟,https://www.youtube.com/channel/UCIBoeAMqlic3emU6_crV9Vw,개인팟,https://op.gg/summoner/userName=개인팟
229,개인팟,https://www.youtube.com/channel/UCIBoeAMqlic3emU6_crV9Vw,길짱의모험,https://op.gg/summoner/userName=길짱의모험
230,신버니 [뉴메타 서포터채널],https://www.youtube.com/channel/UCyQGr2nhHrapsBZ5o6Xwcng,신버니,https://op.gg/summoner/userName=신버니
231,서포터 라콩,https://www.youtube.com/channel/UC8x8GQmlxAIhHxzU61z0uLQ,개쩌는서포터,https://op.gg/summoner/userName=개쩌는서포터
232,서포터 라콩,https://www.youtube.com/channel/UC8x8GQmlxAIhHxzU61z0uLQ,이거서포터맞아여,https://op.gg/summoner/userName=이거서포터맞아여
233,소라튜브SoraTube,https://www.youtube.com/channel/UCI4wEWWBEElIbp9jHcFllTw,이즈는똥이야,https://op.gg/summoner/userName=이즈는똥이야
234,소라튜브SoraTube,https://www.youtube.com/channel/UCI4wEWWBEElIbp9jHcFllTw,기본정글3렙차이,https://op.gg/summoner/userName=기본정글3렙차이
235,소라튜브SoraTube,https://www.youtube.com/channel/UCI4wEWWBEElIbp9jHcFllTw,이즈리얼개못해,https://op.gg/summoner/userName=이즈리얼개못해
236,소라튜브SoraTube,https://www.youtube.com/channel/UCI4wEWWBEElIbp9jHcFllTw,흑인바비인형,https://op.gg/summoner/userName=흑인바비인형
237,소라튜브SoraTube,https://www.youtube.com/channel/UCI4wEWWBEElIbp9jHcFllTw,이즈리얼은똥챔,https://op.gg/summoner/userName=이즈리얼은똥챔
238,렝 황,https://www.youtube.com/channel/UCX6Q1YkgG-GaxVbvlLU4tvQ,렝 황,https://op.gg/summoner/userName=렝 황
239,렝 황,https://www.youtube.com/channel/UCX6Q1YkgG-GaxVbvlLU4tvQ,편안하면 약해질 뿐이다,https://op.gg/summoner/userName=편안하면 약해질 뿐이다
240,세체뽀,https://www.youtube.com/channel/UCz_7dm5JRPnFWDWY2WW9ldw,칼과창방패,https://op.gg/summoner/userName=칼과창방패
241,세체뽀,https://www.youtube.com/channel/UCz_7dm5JRPnFWDWY2WW9ldw,으으으으으아아악,https://op.gg/summoner/userName=으으으으으아아악
242,세체뽀,https://www.youtube.com/channel/UCz_7dm5JRPnFWDWY2WW9ldw,롤이재미있음,https://op.gg/summoner/userName=롤이재미있음
243,세체뽀,https://www.youtube.com/channel/UCz_7dm5JRPnFWDWY2WW9ldw,아무도모름12,https://op.gg/summoner/userName=아무도모름12
244,세체뽀,https://www.youtube.com/channel/UCz_7dm5JRPnFWDWY2WW9ldw,내소원은챌린저,https://op.gg/summoner/userName=내소원은챌린저
245,레고77 TV,https://www.youtube.com/channel/UCw9fP0nSoUygLDmvV1GdAZw,난브론즈아기고양,https://op.gg/summoner/userName=난브론즈아기고양
246,레고77 TV,https://www.youtube.com/channel/UCw9fP0nSoUygLDmvV1GdAZw,lego77,https://op.gg/summoner/userName=lego77
247,개죽이,https://www.youtube.com/channel/UCYpI_NpL0fDo3ZZadOFX2Yw,괄도비넴띤,https://op.gg/summoner/userName=괄도비넴띤
248,양여명,https://www.youtube.com/channel/UC5VM1QLizc1c0lt89oRdEuQ,양여명,https://op.gg/summoner/userName=양여명
249,양여명,https://www.youtube.com/channel/UC5VM1QLizc1c0lt89oRdEuQ,okkorea,https://op.gg/summoner/userName=okkorea
250,양여명,https://www.youtube.com/channel/UC5VM1QLizc1c0lt89oRdEuQ,스누피808,https://op.gg/summoner/userName=스누피808
251,Rootube 노루,https://www.youtube.com/channel/UCTbwgCCBrI-4XU8b5B0uGPg,레게노 루,https://op.gg/summoner/userName=레게노 루
252,꾸르,https://www.youtube.com/channel/UCEW6Spfk9GRSlKGvLFvET_Q,시즌6부터 롤함,https://op.gg/summoner/userName=시즌6부터 롤함
253,꾸르,https://www.youtube.com/channel/UCEW6Spfk9GRSlKGvLFvET_Q,안웃으면던진다,https://op.gg/summoner/userName=안웃으면던진다
254,콤보용,https://www.youtube.com/channel/UCkN71z1sTxocUqazoLsMxmQ,rezolC,https://op.gg/summoner/userName=rezolC
255,똘킹 ,https://www.youtube.com/channel/UCnQRkIhRmXrxGrK4-8n-lVw,IlIlllIIIlllIIl,https://op.gg/summoner/userName=IlIlllIIIlllIIl
256,릉빵이 유튜브 [LEUNGTUBE],https://www.youtube.com/channel/UCHK-FRuAjk8g798dD7L7xqA,릉빵맨,https://op.gg/summoner/userName=릉빵맨
257,릉빵이 유튜브 [LEUNGTUBE],https://www.youtube.com/channel/UCHK-FRuAjk8g798dD7L7xqA,릉빵이 유튜브,https://op.gg/summoner/userName=릉빵이 유튜브
258,해녹YouTube,https://www.youtube.com/channel/UCWJ5nLWh49M2FovMhjnwTFA,카사딘제발버프좀,https://op.gg/summoner/userName=카사딘제발버프좀
259,우주최강올라프,https://www.youtube.com/channel/UC1l5wmXjrQ1COW8_kDtNtiQ,식빵혐오자,https://op.gg/summoner/userName=식빵혐오자
260,우주최강올라프,https://www.youtube.com/channel/UC1l5wmXjrQ1COW8_kDtNtiQ,우주최강올라프,https://op.gg/summoner/userName=우주최강올라프
261,Shen남진,https://www.youtube.com/channel/UChr1KQnUcHAJbPlSYJUeJIA,탐스러운크기,https://op.gg/summoner/userName=탐스러운크기
